0,3200,0,0,0,1400,0,0,0,2100,0,0,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7200,75200,7200,7199,7200,961054900,7200,51566437,7200,779294100,7200,51832800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7300,75600,7300,7299,7300,1053118500,7300,52552800,7300,861709800,7300,53282700,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7400,85400,7400,7399,7400,939391400,7400,53916513,7400,901421700,7400,54752600,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7500,189000,7500,7499,7500,1204146600,7500,55867550,7500,910320300,7500,56242500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7600,107500,7600,7599,7600,958024700,7600,56984901,7600,849346600,7600,57752400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7700,148100,7700,7699,7700,968612200,7700,58450808,7700,873384800,7700,59282300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7800,178200,7800,7799,7800,985464000,7800,59950913,7800,977988400,7800,60832200,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
7900,74300,7900,7899,7900,1377945700,7900,61391028,7900,1236902400,7900,62402100,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8000,67000,8000,7999,8000,1108496600,8000,62752155,8000,1000142200,8000,63992000,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8100,77300,8100,8099,8100,1414877400,8100,64508535,8100,1114409200,8100,65601900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8200,102400,8200,8199,8200,877462400,8200,66206925,8200,626943800,8200,67231800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8300,78900,8300,8299,8300,723563600,8300,68558039,8300,626033500,8300,68881700,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8400,71200,8400,8399,8400,755015600,8400,69367341,8400,704908800,8400,70551600,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8500,73800,8500,8499,8500,1221742500,8500,71153628,8500,1437537100,8500,72241500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8600,86700,8600,8599,8600,974081300,8600,73211886,8600,775423200,8600,73951400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8700,85300,8700,8699,8700,776851000,8700,74306858,8700,853788400,8700,75681300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8800,91900,8800,8799,8800,901092000,8800,76489707,8800,679934000,8800,77431200,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
8900,96100,8900,8899,8900,843998800,8900,78222210,8900,701140300,8900,79201100,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9000,100400,9000,8999,9000,861444800,9000,78948227,9000,713529400,9000,80991000,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9100,77500,9100,9099,9100,834508400,9100,82482435,9100,732458200,9100,82800900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9200,78900,9200,9199,9200,910412300,9200,84143253,9200,744711000,9200,84630800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9300,81200,9300,9299,9300,869462800,9300,85439212,9300,802659100,9300,86480700,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9400,91800,9400,9399,9400,909428100,9400,86602386,9400,775756700,9400,88350600,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9500,92500,9500,9499,9500,949747800,9500,88920139,9500,812845900,9500,90240500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9600,79300,9600,9599,9600,930862600,9600,90787342,9600,815229100,9600,92150400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9700,95100,9700,9699,9700,952015700,9700,93449865,9700,951041800,9700,94080300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9800,196200,9800,9799,9800,1793567500,9800,93727435,9800,916362400,9800,96030200,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
9900,99600,9900,9899,9900,1023343000,9900,97138887,9900,894421500,9900,98000100,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10000,89200,10000,9999,10000,1032664400,10000,99840015,10000,877113800,10000,99990000,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10100,112000,10100,10099,10100,1157506500,10100,101666633,10100,1032589500,10100,101999900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10200,237800,10200,10199,10200,1194491400,10200,102958905,10200,952575100,10200,104029800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10300,101100,10300,10299,10300,1109958700,10300,104400963,10300,964739300,10300,106079700,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10400,118600,10400,10399,10400,1236398500,10400,106496159,10400,987272800,10400,108149600,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10500,99000,10500,10499,10500,1160912600,10500,109189600,10500,1055894600,10500,110239500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10600,98600,10600,10599,10600,1221390300,10600,111088119,10600,1303886300,10600,112349400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10700,96900,10700,10699,10700,1715885300,10700,113045634,10700,1992537900,10700,114479300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10800,204100,10800,10799,10800,1414752700,10800,114750174,10800,1986047500,10800,116629200,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
10900,746100,10900,10899,10900,2182909400,10900,117513018,10900,2083084200,10900,118799100,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
