9500,1766400,9500,2441300,9500,1643900,, heap Sort Time(already sorted), time shuffled, time reversed
9600,1737600,9600,2476100,9600,1650900,, heap Sort Time(already sorted), time shuffled, time reversed
9700,1773100,9700,2604600,9700,1738000,, heap Sort Time(already sorted), time shuffled, time reversed
9800,1723300,9800,2620800,9800,1735000,, heap Sort Time(already sorted), time shuffled, time reversed
9900,1830000,9900,2768500,9900,1782000,, heap Sort Time(already sorted), time shuffled, time reversed
10000,2003500,10000,2669700,10000,2248700,, heap Sort Time(already sorted), time shuffled, time reversed
10100,1854500,10100,2689200,10100,1771600,, heap Sort Time(already sorted), time shuffled, time reversed
10200,2154400,10200,3782400,10200,3270200,, heap Sort Time(already sorted), time shuffled, time reversed
10300,2689800,10300,3509900,10300,2013900,, heap Sort Time(already sorted), time shuffled, time reversed
10400,1981000,10400,2718900,10400,1842900,, heap Sort Time(already sorted), time shuffled, time reversed
10500,1904900,10500,2718400,10500,1839000,, heap Sort Time(already sorted), time shuffled, time reversed
10600,1942100,10600,5729000,10600,2020400,, heap Sort Time(already sorted), time shuffled, time reversed
10700,3341000,10700,3023800,10700,1979200,, heap Sort Time(already sorted), time shuffled, time reversed
10800,1999700,10800,2942300,10800,1918400,, heap Sort Time(already sorted), time shuffled, time reversed
10900,2088000,10900,2952800,10900,1931300,, heap Sort Time(already sorted), time shuffled, time reversed
11000,2049700,11000,3009600,11000,1962300,, heap Sort Time(already sorted), time shuffled, time reversed
11100,1992900,11100,3128300,11100,1964500,, heap Sort Time(already sorted), time shuffled, time reversed
11200,2069400,11200,3107000,11200,1999700,, heap Sort Time(already sorted), time shuffled, time reversed
11300,2145600,11300,3045800,11300,2006900,, heap Sort Time(already sorted), time shuffled, time reversed
11400,2169700,11400,3125600,11400,2462300,, heap Sort Time(already sorted), time shuffled, time reversed
11500,4512400,11500,6214300,11500,2088000,, heap Sort Time(already sorted), time shuffled, time reversed
11600,2257500,11600,3120100,11600,2080300,, heap Sort Time(already sorted), time shuffled, time reversed
11700,2221400,11700,3162800,11700,2137800,, heap Sort Time(already sorted), time shuffled, time reversed
11800,2167200,11800,3105100,11800,2072400,, heap Sort Time(already sorted), time shuffled, time reversed
11900,2398800,11900,3242600,11900,2208300,, heap Sort Time(already sorted), time shuffled, time reversed
12000,3346800,12000,3474800,12000,2278800,, heap Sort Time(already sorted), time shuffled, time reversed
12100,2213300,12100,3236700,12100,2193900,, heap Sort Time(already sorted), time shuffled, time reversed
12200,2147800,12200,3280700,12200,2343000,, heap Sort Time(already sorted), time shuffled, time reversed
12300,2222900,12300,3416400,12300,2263100,, heap Sort Time(already sorted), time shuffled, time reversed
12400,2351400,12400,3576800,12400,2221800,, heap Sort Time(already sorted), time shuffled, time reversed
12500,2398500,12500,3459900,12500,2256400,, heap Sort Time(already sorted), time shuffled, time reversed
12600,3362300,12600,3412800,12600,2362500,, heap Sort Time(already sorted), time shuffled, time reversed
12700,2355500,12700,3811300,12700,2548300,, heap Sort Time(already sorted), time shuffled, time reversed
